Categoría,Palabra,Frecuencia
business,said,2465
business,will,1121
business,year,868
business,also,622
business,new,589
business,market,585
business,growth,553
business,last,524
business,company,516
business,economy,501
business,bank,474
business,sales,450
business,firm,450
business,economic,446
business,oil,442
business,government,431
business,years,387
business,prices,349
business,shares,348
business,may,347
business,one,341
business,firms,337
business,two,336
business,chief,329
business,now,318
business,business,312
business,companies,299
business,rise,298
business,deal,291
business,however,289
business,expected,288
business,financial,284
business,analysts,270
business,yukos,267
business,group,261
business,since,257
business,three,256
business,stock,251
business,december,249
business,months,241
business,president,239
business,first,238
business,dollar,236
business,rate,232
business,time,230
business,european,229
business,china,224
business,quarter,223
business,trade,223
business,still,222
business,many,221
business,people,220
business,biggest,218
business,interest,217
business,investment,217
business,spending,214
business,rates,214
business,made,212
business,countries,212
business,state,212
business,demand,211
business,profits,210
business,told,208
business,month,206
business,strong,204
business,executive,204
business,foreign,203
business,price,203
business,world,199
business,jobs,197
business,figures,197
business,rose,194
business,euros,192
business,offer,192
business,tax,191
business,set,189
business,much,189
business,budget,188
business,next,185
business,news,185
business,back,183
business,million,179
business,part,178
business,according,178
business,cut,176
business,money,175
business,high,175
business,fall,175
business,worlds,175
business,bid,174
business,increase,171
business,russian,171
business,make,171
business,costs,169
business,share,169
business,deutsche,167
business,exchange,166
business,recent,166
business,annual,165
business,added,164
business,january,163
business,report,163
business,hit,161
business,well,161
business,investors,160
business,former,160
business,industry,160
business,take,159
business,fell,159
business,likely,156
business,london,152
business,debt,152
business,sale,150
business,move,150
business,minister,150
business,countrys,150
business,pay,149
business,production,149
business,court,149
business,reported,148
business,europe,146
business,deficit,146
business,says,146
business,higher,145
business,week,142
business,can,141
business,banks,141
business,say,140
business,car,140
business,giant,137
business,global,135
business,plans,134
business,profit,132
business,just,132
business,record,132
business,main,131
business,cost,131
business,club,131
business,number,130
business,public,130
business,seen,129
business,south,128
business,consumer,128
business,international,127
business,bankruptcy,127
business,buy,127
business,exports,127
business,largest,127
business,markets,126
business,less,125
entertainment,said,1215
entertainment,film,1179
entertainment,best,988
entertainment,will,808
entertainment,music,666
entertainment,also,568
entertainment,one,521
entertainment,new,495
entertainment,years,476
entertainment,show,446
entertainment,year,398
entertainment,first,392
entertainment,awards,369
entertainment,last,364
entertainment,number,351
entertainment,won,347
entertainment,award,345
entertainment,director,330
entertainment,actor,311
entertainment,two,308
entertainment,band,308
entertainment,star,305
entertainment,films,301
entertainment,british,289
entertainment,album,277
entertainment,people,270
entertainment,song,265
entertainment,top,264
entertainment,bbc,253
entertainment,actress,243
entertainment,three,231
entertainment,time,230
entertainment,including,230
entertainment,made,212
entertainment,million,211
entertainment,festival,205
entertainment,comedy,194
entertainment,singer,192
entertainment,like,191
entertainment,world,180
entertainment,chart,180
entertainment,stars,174
entertainment,rock,172
entertainment,now,171
entertainment,hit,170
entertainment,movie,170
entertainment,just,170
entertainment,series,168
entertainment,prize,167
entertainment,role,161
entertainment,office,161
entertainment,oscar,161
entertainment,well,158
entertainment,box,156
entertainment,record,155
entertainment,five,154
entertainment,make,152
entertainment,second,151
entertainment,took,151
entertainment,sales,145
entertainment,aviator,144
entertainment,musical,141
entertainment,think,141
entertainment,shows,141
entertainment,win,141
entertainment,life,140
entertainment,place,139
entertainment,play,138
entertainment,nominations,138
entertainment,book,137
entertainment,four,135
entertainment,named,134
entertainment,get,134
entertainment,pop,134
entertainment,day,133
entertainment,nominated,130
entertainment,set,129
entertainment,industry,129
entertainment,big,129
entertainment,radio,129
entertainment,many,128
entertainment,told,127
entertainment,week,122
entertainment,single,122
entertainment,dont,121
entertainment,can,120
entertainment,love,120
entertainment,theatre,119
entertainment,drama,119
entertainment,work,118
entertainment,include,117
entertainment,starring,116
entertainment,added,116
entertainment,take,116
entertainment,group,115
entertainment,man,115
entertainment,london,114
entertainment,success,114
entertainment,good,114
entertainment,released,113
entertainment,category,112
entertainment,black,112
entertainment,ceremony,110
entertainment,see,109
entertainment,become,109
entertainment,great,108
entertainment,television,107
entertainment,next,107
entertainment,young,106
entertainment,audience,106
entertainment,going,106
entertainment,part,105
entertainment,since,105
entertainment,academy,105
entertainment,sold,103
entertainment,night,103
entertainment,hollywood,102
entertainment,taking,102
entertainment,live,102
entertainment,songs,102
entertainment,oscars,101
entertainment,later,100
entertainment,came,100
entertainment,performance,100
entertainment,among,100
entertainment,christmas,99
entertainment,went,99
entertainment,home,99
entertainment,played,99
entertainment,original,98
entertainment,version,98
entertainment,money,98
entertainment,former,98
entertainment,debut,98
entertainment,career,98
entertainment,artists,95
entertainment,american,95
entertainment,favourite,95
entertainment,third,95
entertainment,really,95
entertainment,international,93
entertainment,fans,93
entertainment,around,93
entertainment,urban,93
entertainment,john,92
entertainment,charles,92
entertainment,martin,91
entertainment,february,91
entertainment,says,90
entertainment,act,90
politics,said,3452
politics,will,1370
politics,government,929
politics,labour,901
politics,people,868
politics,election,806
politics,blair,804
politics,party,718
politics,also,644
politics,new,641
politics,minister,570
politics,told,526
politics,brown,524
politics,howard,475
politics,public,464
politics,plans,422
politics,prime,418
politics,one,415
politics,tax,397
politics,say,391
politics,can,390
politics,secretary,385
politics,lord,380
politics,tory,362
politics,leader,355
politics,chancellor,349
politics,home,346
politics,tories,345
politics,says,340
politics,general,330
politics,bbc,321
politics,now,312
politics,make,310
politics,next,309
politics,britain,301
politics,time,295
politics,last,290
politics,year,288
politics,police,285
politics,spokesman,285
politics,get,282
politics,campaign,274
politics,mps,273
politics,years,271
politics,law,271
politics,british,270
politics,two,262
politics,first,261
politics,made,257
politics,michael,253
politics,just,251
politics,may,250
politics,tony,249
politics,local,248
politics,ministers,242
politics,lib,241
politics,issue,238
politics,way,235
politics,country,232
politics,work,231
politics,bill,230
politics,vote,229
politics,take,227
politics,council,226
politics,liberal,225
politics,back,223
politics,part,219
politics,political,215
politics,want,212
politics,like,211
politics,rights,209
politics,added,208
politics,think,208
politics,saying,207
politics,house,207
politics,report,207
politics,labours,204
politics,many,203
politics,parties,202
politics,going,196
politics,office,194
politics,foreign,192
politics,kennedy,189
politics,immigration,189
politics,conservative,183
politics,expected,182
politics,without,182
politics,system,179
politics,see,176
politics,ukip,176
politics,lords,175
politics,services,175
politics,already,174
politics,week,174
politics,claims,172
politics,whether,171
politics,put,170
politics,human,170
politics,former,169
politics,set,168
politics,health,168
politics,voters,167
politics,commons,166
politics,kilroysilk,165
politics,increase,164
politics,dont,162
politics,still,161
politics,much,161
politics,good,161
politics,european,161
politics,committee,160
politics,help,160
politics,war,160
politics,iraq,160
politics,believe,159
politics,come,159
politics,support,158
politics,clear,158
politics,right,157
politics,gordon,156
politics,national,154
politics,london,154
politics,even,153
politics,education,153
politics,change,152
politics,children,151
politics,conservatives,151
politics,news,150
politics,number,150
politics,wales,149
politics,need,148
politics,spending,148
politics,policy,148
politics,well,148
politics,legal,147
politics,asylum,146
politics,parliament,145
politics,called,144
politics,dems,142
politics,governments,139
politics,programme,138
politics,give,138
politics,evidence,137
politics,cabinet,136
politics,charles,136
politics,court,136
politics,blunkett,136
politics,pay,135
politics,plan,135
politics,money,135
sport,said,1413
sport,will,1260
sport,game,682
sport,first,655
sport,win,601
sport,england,570
sport,world,556
sport,last,553
sport,two,539
sport,one,498
sport,also,480
sport,time,462
sport,back,457
sport,cup,443
sport,players,440
sport,new,436
sport,play,427
sport,can,425
sport,six,399
sport,just,398
sport,wales,392
sport,second,385
sport,team,374
sport,good,360
sport,match,355
sport,club,351
sport,ireland,349
sport,side,348
sport,coach,342
sport,three,341
sport,now,338
sport,set,338
sport,final,327
sport,year,319
sport,years,318
sport,rugby,308
sport,made,306
sport,won,305
sport,take,301
sport,well,301
sport,get,295
sport,think,291
sport,great,286
sport,injury,283
sport,added,283
sport,france,278
sport,open,271
sport,season,267
sport,nations,265
sport,chelsea,264
sport,league,263
sport,told,262
sport,best,254
sport,victory,253
sport,player,253
sport,next,252
sport,games,250
sport,got,249
sport,yearold,248
sport,going,243
sport,since,241
sport,minutes,238
sport,like,237
sport,make,236
sport,international,234
sport,played,234
sport,champion,229
sport,williams,226
sport,united,223
sport,still,222
sport,way,219
sport,start,218
sport,playing,217
sport,olympic,212
sport,four,205
sport,want,204
sport,title,203
sport,come,199
sport,liverpool,199
sport,ball,197
sport,chance,196
sport,football,195
sport,scotland,195
sport,home,193
sport,squad,193
sport,manager,193
sport,number,192
sport,put,190
sport,beat,190
sport,try,190
sport,five,189
sport,right,188
sport,third,187
sport,former,187
sport,race,186
sport,european,185
sport,lot,185
sport,end,184
sport,top,183
sport,arsenal,182
sport,dont,181
sport,jones,180
sport,grand,179
sport,another,178
sport,really,177
sport,champions,175
sport,winning,174
sport,goal,173
sport,know,173
sport,took,169
sport,week,168
sport,boss,167
sport,bbc,166
sport,italy,166
sport,sport,165
sport,mark,164
sport,see,163
sport,lost,163
sport,australian,163
sport,robinson,163
sport,came,161
sport,roddick,160
sport,captain,158
sport,record,156
sport,place,156
sport,left,155
sport,away,154
sport,didnt,151
sport,andy,151
sport,athens,150
sport,return,149
sport,half,149
sport,ahead,148
sport,face,148
sport,real,147
sport,break,145
sport,decision,143
sport,better,142
sport,much,141
sport,round,141
sport,points,140
sport,indoor,138
sport,madrid,138
sport,weeks,138
sport,even,136
sport,lead,136
sport,zealand,134
sport,seed,132
sport,never,128
sport,big,128
tech,said,2299
tech,will,1748
tech,people,1416
tech,can,1041
tech,new,772
tech,also,751
tech,mobile,743
tech,technology,728
tech,one,672
tech,games,626
tech,music,588
tech,digital,570
tech,users,566
tech,use,534
tech,software,531
tech,net,512
tech,many,485
tech,game,484
tech,phone,482
tech,make,479
tech,like,461
tech,get,459
tech,online,437
tech,computer,429
tech,now,418
tech,year,417
tech,video,417
tech,used,405
tech,service,404
tech,time,400
tech,just,389
tech,way,389
tech,first,378
tech,broadband,370
tech,million,364
tech,internet,355
tech,using,350
tech,system,348
tech,services,347
tech,phones,342
tech,data,340
tech,says,328
tech,information,326
tech,world,325
tech,security,322
tech,number,315
tech,firms,303
tech,search,303
tech,firm,290
tech,content,290
tech,two,289
tech,microsoft,286
tech,players,286
tech,work,283
tech,market,282
tech,much,279
tech,years,274
tech,take,269
tech,media,268
tech,next,268
tech,companies,265
tech,according,263
tech,news,260
tech,site,260
tech,last,258
tech,around,256
tech,research,250
tech,web,246
tech,home,244
tech,networks,244
tech,well,242
tech,apple,241
tech,access,241
tech,help,238
tech,industry,237
tech,made,237
tech,even,233
tech,want,233
tech,company,228
tech,network,224
tech,different,219
tech,bbc,219
tech,devices,219
tech,sites,218
tech,set,217
tech,already,217
tech,gaming,217
tech,see,214
tech,email,214
tech,going,214
tech,radio,202
tech,show,198
tech,website,197
tech,part,195
tech,able,192
tech,report,186
tech,play,183
tech,told,183
tech,windows,180
tech,need,180
tech,top,178
tech,consumers,178
tech,available,177
tech,end,176
tech,systems,176
tech,europe,176
tech,found,176
tech,via,175
tech,three,172
tech,control,172
tech,still,171
tech,become,171
tech,every,168
tech,good,168
tech,gadget,168
tech,may,167
tech,technologies,167
tech,sony,165
tech,consumer,165
tech,months,163
tech,mobiles,163
tech,future,161
tech,added,160
tech,likely,160
tech,find,158
tech,version,158
tech,back,157
tech,customers,156
tech,messages,155
tech,european,155
tech,called,154
tech,means,153
tech,released,153
tech,player,153
tech,virus,153
tech,offer,152
tech,device,152
tech,portable,152
tech,legal,152
tech,spam,152
tech,computers,151
tech,free,150
tech,gadgets,150
tech,dvd,150
tech,personal,148
tech,latest,147
tech,pcs,147
tech,hard,147
tech,popular,146
tech,really,145
